,tags
80,nsubj ROOT mark punct punct prep det pobj nsubj aux ccomp det dobj prep amod pobj punct punct det compound nsubjpass prep pobj aux auxpass ccomp aux punct punct xcomp dobj punct prep compound compound pobj punct
81,ROOT
82,punct prep det amod punct amod pobj punct compound nsubj ROOT det amod compound dobj punct advcl punct mark det nsubj advcl dobj punct prep det punct punct amod pobj nsubj advmod relcl prep det pobj punct punct
83,det amod compound nsubj ROOT compound attr punct det amod compound appos punct nsubj relcl compound dobj punct det compound appos cc conj prep det compound compound compound compound pobj punct
84,nsubj ROOT nummod dobj prep poss case pobj punct cc nsubj conj dobj punct
85,compound compound nsubj punct advcl prep det pobj punct ROOT prep prep det pobj aux advcl dobj punct
86,punct punct nsubj ccomp det amod punct amod attr nsubj advmod relcl punct punct compound compound compound nsubj ROOT punct
87,punct punct csubj prep det pobj ROOT advmod prep pcomp prep pobj punct
88,nsubj aux neg ROOT det dobj prep pobj punct cc nsubj aux neg conj det dobj prep pobj punct punct
89,det nsubj acl prep det pobj ROOT neg advmod acomp punct advmod punct
90,nsubjpass auxpass ROOT agent pobj punct amod compound compound appos cc conj dobj prep pobj punct
91,det amod compound compound nsubj punct compound compound appos punct ROOT dobj prep pobj npadvmod nummod punct nummod npadvmod mark nsubj advcl poss dobj prep det pobj prep det compound compound pobj punct
92,prep det compound pobj punct det nsubj punct conj cc conj punct advmod ROOT amod compound dobj punct
93,compound nsubj ROOT nsubjpass punct advmod punct auxpass ccomp prep amod pobj advmod mark nsubj advcl det dobj punct
94,amod amod nsubj ROOT mark expl aux ccomp attr prep det pobj punct cc nsubj conj nsubj det ccomp aux acl det dobj cc conj det amod dobj punct
95,compound compound nsubj ROOT det nsubj advmod ccomp ccomp poss nsubj punct
96,punct punct nsubj ccomp amod acomp punct punct det nsubj ROOT punct
97,punct punct expl ROOT neg det attr prep pobj punct punct
98,ROOT punct appos
99,punct compound nsubj prep compound compound poss case punct punct amod nmod punct pobj ROOT amod npadvmod prep det amod pobj prep compound pobj punct
100,nsubj advmod ROOT det dobj prep det pobj punct dobj nsubj aux relcl prt advmod prep poss pobj prep nummod amod pobj punct prep det amod pobj prep det compound pobj prep pobj cc conj punct
101,prep compound pobj punct nsubj ROOT advmod prep det pobj prep nummod pobj punct
102,cc nsubj prep pobj compound nsubj relcl dobj acl prep pobj ROOT amod dobj mark nsubj aux acl dobj prep pobj punct
103,nsubj ROOT punct punct advmod amod punct poss dobj mark nsubj aux acl compound nummod dobj aux advcl xcomp det amod dobj prep compound nummod pobj prep det pobj prep det amod amod pobj amod npadvmod nummod punct
104,nsubj ROOT det dative det nsubj aux advmod ccomp dobj prep pcomp det compound dobj nsubj aux relcl prep det pobj punct punct mark nsubj advcl det attr punct punct
105,nsubj ROOT det dobj aux xcomp prt compound dobj punct conj cc amod amod conj prep pobj acl prep nummod pobj cc nummod punct
106,det nsubj punct dobj nsubj relcl nsubj ccomp advmod punct aux ROOT dobj punct compound conj punct compound conj cc amod conj aux xcomp amod dobj prep det compound pobj punct
107,det compound nsubjpass aux neg auxpass ccomp advmod mark nsubj advcl advmod acomp aux xcomp amod dobj punct nsubj ROOT punct
108,compound nsubj punct det compound appos acl det compound compound dobj punct ROOT det compound dobj advmod nsubj advcl nsubj aux ccomp dobj aux xcomp poss amod dobj prep pobj cc conj det dobj prep compound pobj punct
109,punct punct mark nsubj advcl dobj prep pobj punct nsubj ccomp dobj prep det pobj punct punct nsubj ROOT punct
110,punct punct nsubj ROOT prep prep pobj amod dobj prep pobj punct punct
111,compound compound compound nsubj prep pobj punct appos prep det pobj punct ROOT det nsubj aux acl nsubj aux ccomp punct punct prep pcomp det dobj prep prep det poss case pobj prep pobj punct nmod cc conj appos punct punct
112,poss nsubjpass auxpass ROOT agent amod pobj punct prep compound pobj prep pobj punct compound compound conj prep pobj punct compound compound conj prep pobj cc compound conj prep pobj punct
113,nsubj ROOT mark det nsubj ccomp punct punct advmod acomp punct mark punct nsubj parataxis punct nsubj aux advcl dobj punct
114,nsubj advmod ROOT mark neg amod nsubjpass auxpass ccomp prep det pobj punct mark det nsubjpass auxpass advcl advmod amod npadvmod punct
115,ROOT punct appos
116,punct nsubj advmod ROOT npadvmod det dobj prep compound compound pobj prep pobj acl dobj prep compound pobj prep det pobj prep pobj cc det nummod amod amod conj punct
117,det nsubjpass auxpass ROOT aux xcomp amod dobj prep advmod amod pobj prep det amod pobj prep det amod pobj prep det pobj punct
118,expl ROOT det attr mark det nsubj advcl det dobj prep prep det pobj punct
119,nsubj aux ROOT det compound compound dobj aux xcomp npadvmod punct amod compound dobj prep det pobj prep pobj prep nummod cc conj pobj punct conj amod dobj prep nummod cc conj pobj prep pobj aux advcl det compound dobj punct advcl amod dobj aux xcomp det amod compound dobj prep det pobj advmod punct
120,amod nsubj prep det compound pobj prep det nummod pobj prep pobj punct conj punct conj punct conj cc compound conj aux ccomp nmod attr punct nsubj aux relcl det attr prep nmod pobj advmod mark det amod poss case compound nsubjpass prep nmod pobj auxpass advcl punct nsubj ROOT det dobj punct
121,det nsubj ROOT expl aux ccomp nummod attr aux advcl det compound dobj prep compound pobj punct advcl dobj prep pcomp prep pobj aux advcl prep det npadvmod amod pobj punct
122,nsubj aux ROOT aux xcomp det dobj prep compound compound pobj advmod prep compound nmod nmod nmod punct nmod punct pobj cc compound conj punct
123,mark nsubj advcl advmod aux auxpass xcomp prt punct nsubj ROOT nsubj ccomp aux xcomp compound dobj prep pobj advmod nsubj ccomp poss case amod amod nsubjpass aux auxpass ccomp punct
124,punct punct nsubj aux ccomp amod punct amod punct dobj prep punct pobj punct prep compound pobj pobj punct punct ROOT nsubj punct
125,punct punct cc nsubj ROOT mark nsubjpass auxpass advmod advcl prep det pobj punct nsubj prep pobj aux ccomp dobj advmod punct
126,nsubj ROOT acomp aux xcomp poss amod dobj prep pobj punct punct
127,compound nsubjpass punct det appos appos appos prep compound pobj punct auxpass ROOT prep poss pobj prep pcomp prep det pobj punct
128,det compound nsubjpass nsubj relcl poss amod compound dobj auxpass ROOT aux xcomp dative det amod dobj punct mark det nsubj advcl amod dobj advmod punct
129,det nsubj ROOT advmod punct cc conj dative det pobj punct det dobj acl det compound compound poss case dobj aux acl compound dobj dative pobj punct
130,det nsubj advmod ROOT prep poss amod pobj prep compound pobj acl agent pobj punct advcl det dobj prep det pobj punct
131,nummod amod ROOT prep compound pobj punct
132,det amod ROOT prep det compound compound pobj punct
133,det nsubj ROOT det amod dobj prep pobj prep det compound compound compound pobj punct prep pobj det amod amod nsubjpass advmod auxpass relcl punct
134,prep pobj punct nsubj ROOT det dobj prep compound compound compound nsubj prep pobj pcomp dobj prep det pobj prep det pobj prep det advmod pobj prep det compound compound pobj punct
135,nsubjpass prep poss pobj aux auxpass ROOT advmod advmod cc prep det pobj det compound compound nsubj aux conj dobj cc conj prep det pobj punct
136,nummod compound compound nsubjpass auxpass ROOT punct
137,nsubj punct prep compound compound pobj prep compound pobj punct aux ROOT amod quantmod nummod dobj nsubj relcl det dobj prep amod compound pobj prep pcomp det dobj mark det nsubj auxpass acl punct
138,advmod punct nsubj aux ROOT det dobj prep pobj punct nsubj prep pobj aux ccomp det dobj prep quantmod quantmod nummod pobj prep pobj punct cc det nmod nummod conj punct
139,nsubj ROOT attr prep det pobj prep pobj prep det compound compound pobj punct
